,Review,Freshness
20029,"Moments of silliness are more than balanced by Petersen's extraordinary ability to keep this movie flight-worthy, Ford's almost-executive presence and an outstanding performance from Oldman.",1
235733," Despite some true-blue juice, ""Man of Steel"" has flaws it can't overcome.",0
333861," In the end, all the pic has left to peddle is its own amoral cleverness.",0
1004,One of the worst scripts put to screen this year and the problems certainly don't stop there.,0
109,"I was expecting a Supersize Me for makeup, but it's much more sophisticated than that.",1
40859,"For me, it was worthwhile just to hear R. Lee Ermey call one of his victims ""Dumplin.'",0
4059,Euphoria induces anything but.,1
218958, [A] penetrating portrait of life on the outskirts of New York.,1
5383,"As the streaming giant heads into its second summer of rom-coms, it's becoming apparent that it's struggling when it comes to teen romance and coming-of-age stories.",0
1378,"The aesthetic choices and percussive pervasiveness in the score help represent Damien, the man, the podcaster and philophobic. This project is clearly a labour of love and I'm looking forward to Tyler Cole's next production.",1
490,"Even if The Sonata ultimately turns out to be something of a letdown, however, it may still be worth seeing for Rutger Hauer's involvement alone.",1
393723," It's a movie of singular moments, but the images, set-pieces, and special effects don't congeal into a coherent narrative that sustains emotional or thematic engagement.",0
2009,Entangled is such a dreadful and pretentious bore that even those with a pronounced interest in female-driven cinema will find it all but unendurable.,0
346368," This information needs to be shown to the public, and some will be drawn to it regardless of its form. But as a well-crafted film, it has a long way to go.",0
825,"When you're as funny as [Michelle] Wolf, you don't need to distract from your hilarious-and occasionally disturbing-stand-up.",1
4310,[Anima's] a compelling piece of art that's well worth your time.,1
5391,"Albert, played by Laura Dern (in some scenes doing a deliberately outrageous English accent), frets about being sidelined. As far as the film's treatment of her is concerned, she has a point.",1
42430," Draws me in like a sore tooth one can't stop probing with one's tongue, like a painful memory that rises unbidden in one's mind, stubbornly unresolved. ",1
5069,'Rim of the World' is a fun adventure flick filled with cool pop culture movie moments and a great story arc that makes this a movie worth adding to your Netflix queue.,1
451969," As Snow White, actress Lily Collins is a washout.",0
444387, Trance is a film so twisty and slippery that it almost succeeds in making you lose interest in its outcome.,1
33442,Gives us television sitcom-like 'onesa' characters ... whose behavior seems prompted by whatever suits the scene rather than any kind of emotional truth.,0
199040, The big green guy's still got it!,1
109972," Half social commentary regarding the use of technology in daily life, and half mystery thriller with a high quota of emotion. [Full review in Spanish]",1
4240,"A kind of cross between Richard Linklater's Boyhood and Wild Kingdom, Mia and the White Lion offers a unique spin on the coming-of-age tale with stunning visuals if questionable ethics of ""employing"" real lions to ""act.""",1
2954,A somewhat convoluted thriller with John Le Carré pretensions that succeeds more than it fails.,1
133306, Here's hoping Green's next film is just 90 minutes of Ray Wise talking to an imaginary friend.,0
86655, Spending time with these people is hellish.,0
235353," Sadly, this film seeks to expand the basic story - based on an Edgar Allen Poe tale - in a ridiculous fashion that lurches awkwardly from childish fantasy to sick violence.",0
24855,A more than passable night out if you're fed up with the usual rom-com conventions.,1
242046," July's oddball vision grows on you, and I found myself looking forward to her next film.",1
49707,...Aronofsky's taste for including horror in his films is evident from his very first feature...,1
497,"Dig beneath the underdog clichés, and this modest Swedish drama provides a heartfelt examination of self-discovery and starting over.",1
241968, Nobody else is making such operatic films half so well as Sorrentino.,1
1023,"The Sound of My Voice is entirely satisfying and worthwhile. Like its title character, the movie builds on familiar elements to make something new and beautiful.",1
28252,The most subtle comic adaptation you'll see all year.,1
3971,"Point Blank could have potentially gone in a different, bolder, more exciting direction but instead the film chooses predictable paths and flatlines in the process.",0
83212," Still, the movie is so denuded of insight and incident it ends up more cartoonish than the comic book that spawned it.",0
8733,"Crimson Peak"" is frustrating from nearly every angle. It lets the audience race ahead of the reveals, while struggling to put all that tantalizingly rich atmosphere to effective narrative use.",0
463244, [A] flawless domestic portrait. ,1
3429,It's worth reflecting on our world from the perspective proposed here by Casey Affleck. [Full Review in Spanish],1
3043,The Professor and the Madman limps out as a woefully half-baked and overcooked spectacle that mistakes reality for relevance.,0
432524," Observes with ruthless, artful precision. While plunging a knife through your soul.",1
383102," As a spoof, it all feels a bit tedious and thrown-together.",0
39014,In essence Chicago comes closer to capturing that life of artists and performance; Memoirs is just whoring for a little prestige known as the Oscars.,0
4933,A Space Program offers a vision of what The Martian might look like as directed by the heroes of Michel Gondry's Be Kind Rewind.,0
51625,There's nothing like a well-placed nod to the classics to help elevate a dumb summer comedy.,1
53997,It's at its best when young Barton Fink simply stares at a picture of a bathing beauty contemplating the ocean -- a Hollywood dream.,1
108323, Co-screenwriters/director Jay and Mark Duplass are smart enough to balance the darkly comic elements with equally effective dramatic moments.,1
2461,"We hardly need another romantic comedy about millennials indulging in wedding mayhem, and this breezy entry is too familiar and predictable to break the mold.",0
5666,"Zengel is a balled-up fist of energy in the title role, getting across the sweetness that can convince those who take pity on Benni that ""she's making progress,"" but unleashing hell in a flash to remind them she isn't.",1
312248," Entertaining, but... ultimately forgettable. [Full review in Spanish]",0
4886,This is a film that will revive all your childhood dreams of becoming an astronaut.,0
42739,"Straightforward but convincing, Black Nativity is refreshingly restrained, making it a nice counterpoint to other, noisier holiday entertainment.",1
4908,The humor inherent in the situations flattens out quickly as the film lurches from one preposterous scene to another...,1
53384," While this documentary may be as carefully constructed as the band, no amount of stage management can stop genuine emotions seeping through, and you're likely to find your cynicism crumbling in the face of the lads' sheer energy and down-to-earth charm.",1
17557,"The film's low-key meandering almost recommends it, compared to more manic versions of this story. FUN MOM DINNER won't exhaust you, but it won't exhilarate you either.",0
169200," A barking mad shaggy dog story with imagination to spare. 13/10, would watch again.",1
2344,"With a predictable plot, stereotypical characters, and mediocre CGI, this film is lacking a lot, but fans of the franchise might find appreciation in nods to the games.",1
863,"""Abominable"" doesn't live down to its title, but it doesn't scale any summits, either.",0
1,This is a good film if you are looking for something easy going to kill some time without the struggle of mentally unlocking complex twists and story arches.,1
88195," Despite a tendency toward elephantitis in story and scope, not to mention blatant franchise pandering, Deadpool 2 still plays like the runt of the comic-book litter. We mean that as a compliment.",1
27159, Billy Ray's crisply acted but jumbled remake of the 2009 Foreign-Language Oscar winner [...] never does justice to its source material.,0
666,One gets the feeling that Zellweger was able to tap into her own topsy-turvy life and career to channel the artist. She will certainly be rewarded with an Oscar nomination (and probably the award itself).,1
5062,"A grating, painfully awful movie that seems to work against everything that makes movies of this ilk so entertaining.",1
3878,Marc Maron shows surprising layers in this Southern-fried comedy that drops a lot of quips and pulls a few heartstrings.,1
460428," Statham is ever-reliable as a leading tough guy, but he gets saddled with the unwinnable task of teaming up with a silly, unnecessary sidekick played by Jennifer Lopez.",0
3144,"Not much more to say, ""Shadow"" is one of the greatest wuxia films of all time, an audiovisual poem and overall, a true masterpiece.",1
3804,"My expectations might not have been exceeded in any way, but they were solidly met. I'd happily revisit another one of these tangential adventures in the future.",1
101718, Crash's Best Picture Oscar win helped jump-start a wave of self-deluded ensemble imitators who seem to feel that overt emotionalism ladled over a loosely connected narrative is a surefire sign of Important Filmmaking. Witness Fragments.,0
5186,"Byrd's romp through the most contemptible stereotypes of women, gays, and ethnic minorities makes his film unfit for just about anyone, never mind royalty.",0
117499," If less thematically dazzling than Millennium Actress, it's suffused with a giddy sense of the seething, mutable landscape of the mind.",1
4708,"The latest terminal teenager love story, keeps it's distance from originality.",1
9326,About as contemptible as filmmaking gets.,0
1331,"the po-faced documentary sections which frame this film-within-a-film also serve to muddy its waters further, making us question precisely what we may be sacrificing of ourselves when we willingly suspend disbelief and yield to art's illusory sway.",1
18237," There's a mesmeric intensity to Jackie that's unlike any biopic of its kind, marked by a deliberate effort to narrow the scope to one woman's actions and reactions over the course of a few fraught days.",1
21579,"This would-be erotic thriller suffers from the same problem that afflicts so many computer-oriented movies -- namely, that watching characters staring at a screen and typing hardly makes for a thrilling cinematic experience.",0
44598,"One of the worst, most inexcusably poor movies Clint Eastwood has turned out in his career behind the camera and a possible contender for one of the worst films of the year.",0
51472,"As monotonous as Muzak, and when it comes to the plot, both bewildering and trite.",0
1680,Why make a feature film based on your own documentary?,0
43951,"Certainly among the top five of all Bonds, and still socko.",1
357396," Not only does Pokemon -- the First Movie threaten to strike again with the sequel-readiness of its title, but the overlong 89-minute opus aims to thrill tykes by being slightly less than adorable -- meaning you shouldn't trust these creatures any f",0
18193,"It's a howl of rage and a keen-eyed study of a subject that, unfortunately, never stops being news: the way institutional power acts as a shield under whose cover the strong can abuse the weak.",1
219205," Following The Mummy, American Made is easily the best Tom Cruise film of 2017, though it never strikes quite the right tone for the story it's trying to tell.",1
24246,Theron makes Aileen realistically frightening and unreachable at times. Murder in her hands is certainly not cool.,1
211513," Multiple men demonstrate extreme, sudden affection for Jane. This, apparently, is what happens when there are only two women in a village and one is Judi Dench.",0
175507, This film is a fawning biopic that adds a thousand details to a portrait of Snowden that are only relevant if your goal is becoming president of the Edward Snowden fan club.,0
1310,A good film that unfortunately doesn't stand out from the crop. The performances by Thomas Jane and Luke Kleintank are solid and there are a few moments of real inspiration.,1
40110,The whole franchise has been given a new shot of vitality and vigor.,1
4417,Stephen Burke's story is competently told and the escape itself is nicely handled.,1
41865,All that's left is Smith's considerable charm and James's appealing goofiness - and they're not enough.,0
184528," Forest Whitaker's performance is just terrible. You can tell the director, David M Rosenthal, had no power over him. He just did his character-which the script failed to fully develop and exploit-his own damn way.",0
195421," Paralyzing joys are the very heart of George Bailey's dilemma; they are, to borrow words from George's father, ""deep in the race.""",1
45580,[The film is]...so bad that I found myself almost nodding out during long scenes of Alba swimming underwater in a skimpy suit.,0
479731, It is ironic that Criminal - which features a maverick neuroscientist character and spins its nutty story around a pioneering brain operation - should prove to be such a brainless genre exercise.,0
451570," The Longest Ride is sentimental, forced and silly, but it's sure to hit the bull's-eye with its intended audience.",0
307226," It's hard to imagine Literally, Right Before Aaron existing without The Graduate as a template.",0
28648,"Peter Jackson returns to the Middle Earth he rendered so faithfully in Lord of the Rings, and it's never looked so glorious.",1
340685," This may be as close as we'll ever get to knowing the strange boy-man who was one of the greatest entertainers -- onstage, on record and on video -- of the 20th century. He comes across as ageless and timeless, just like the songs he sings.",1
30425,Mostly mediocre heist flick.,0
219578," Great fun this may well be, but the finale signifies a distinct running out of ideas.",1
43597,"The misunderstandings are all thankfully low on the ""Three's Company"" scale while Hartnett and Sossamon's chemistry is undeniably potent.",1
330655, Sugar's personal achievement is uplifting-and it's also cause for celebration when artists create just for the love of the game.,1
382926," The script, which resorts to incest for laughs, is utterly puerile.",0
83665," I know it's all about erotic obsession, not logic. Still, it's just so darn annoying to watch this attractive, seemingly smart woman throw her life away for some (admittedly rather hot) sex in the greenhouse.",0
4723,"This literal LOL-filled film from sitcom showrunner Nahnatchka Khan doesn't reinvent the wheel, but it does provide a genuinely sweet, truly funny film that is sure to be watched and rewatched on many Saturday afternoons on the couch in pajamas.",1
5185,Wine Country is a much-needed break with what feels like old friends.,1
17180,"Inherent Vice lives happily on the outer limits, where the noir form and its history are at least as important as the content.",1
5692,Ultimately Impossible Monsters is a perfectly adequate film with good production values and quite a few engaging twists and turns.,1
2438,"Tense and twisty, and it doesn't mess around with melodrama, with Carion most interested in feral responses to an unthinkable situation.",1
19310,"Three Billboards Outside Ebbing, Missouri"" is just the bitter pill the times call for, offered with a loving cup to make it go down just a bit easier.",1
325,Now the mirthfully macabre clan known as the Addams Family - an iconic creation of legendary New Yorker cartoonist Charles Addams - have been fed into Hollywood's cartoon woodchipper.,0
53133,"As unnervingly timely as this historical drama is, this is also a film with clear-eyed heart, one that sweeps you up and carries you with undeniable power and grace.",1
350290, Mildly funny yet off-puttingly mannered.,0
4872,"Railroad worker, revenge, corrupt lawman, and country star Trace Adkins!?! That package should attract the eyes of fans of Westerns and country music.",0
2433,The insightful and immersive film manages to both salute the artistry of battle rappers and satirize the hypocritical culture that sustains their livelihood.,1
18724,"Ethan Hawke brilliantly captures the doubt many believers wrestle with, but the film never seriously engages with the counsel the Bible offers to deal with it. ",0
4618,"It's nothing radical, but Chan and Rhymer serve up new wine in old bottles in a way that's highly promising for future endeavours.",1
315172," If this film doesn't make you want to smile, you've no one to blame but yourself.",1
270528," Even when the the music swells and people talk through their problems to reach unremarkable conclusions, there's an undercurrent of emotional authenticity.",1
469921, [Rapace] will be enough to send some to this urban thriller but the film will send them away disappointed.,0
82773, You can sense the lack of imagination.,0
2103,"There's nothing new with this buddy cop comedy with its cheap, lowbrow humor.",0
399789, Looks a lot more closely and realistically at the enormous task they faced and the selfless charity it took to watch over thousands of stranded travellers.,1
47537,"An eerily quiet, bracingly bloody, and expertly laid-out adaptation of the Cormac McCarthy novel.",1
1125,"Throw in a Game of Thrones-esque soundtrack, a menacing Wolverine and some chilling climate change exemplars and the result is a surprisingly captivating watch.",1
10563,Style trumps substance in this ultraviolent revenge thriller.,0
378168," With its occasional forays into alternate realities and dreamy, keyed-up atmosphere, La La Land plays sort of like a cheerful Mulholland Dr., but shares none of that movie's cynicism.",1
4949,"This is a different look for him, and I'm fine with what he does, stepping in to a dramatic role. I have issues with this film because it wants to play off that ""inspired by a true film"" a bit too much.",0
410993, An op-ed piece masquerading as a motion picture.,0
48479,Into The Wild gets lost in a self-indulgent wilderness.,0
33766,"Get On Up revels in the energy of James Brown, as played with intense concentration and excitement by Chadwick Boseman. ",1
28615,"[The] elements are in place again, but the story feels less substantial than the Lord of the Rings tales.",0
5371,Some of the performances are better than others. And the long production period means that facial hair is apt to disappear from scene to scene. But O'Mochain gets the hard part right in maintaining a very whimsical tone.,1
3685,"...despite the clunky, unimaginative script and the by-the-numbers direction, Long Shot is saved by the exact gimmick that probably green-lit it in the first place: Theron and Rogen.",1
73304, A less than Homeric odyssey.,0
2489,Buckley... confirms that she is a specialist in the untamed.,1
158033," Even childless (and sober) I still had a pretty good time, and if you like silliness with a sprinkling of surrealism, you will too.",1
93,"Filmmaker Juan Cabral presents a muddled philosophical thesis about identity, one that begins promisingly yet quickly loses its intrigue.",0
49817,"The scenery is fabulous, the script less so, the final action sequences a headlong plunge into hokum and bathos.",0
381147," Mungui may burden his protagonist with myriad problems, but the film never folds under the weight. ""Graduation"" is compelling throughout because Titieni conveys Romeo's anxieties through body language and facial expression.",1
421084," There is much healing in ""The Barefoot Artist,"" Glenn Holsten and Daniel Traub's fascinating documentary portrait of the artist Lily Yeh.",1
198363, [It] might be a bottomless barrel of idiotic yuks. But it's not a total lemon.,0
34720,Like The Breakfast Club recast as a videogame for simpletons.,0
4767,I Am Mother offers some interesting social commentary on the idea of motherhood but stops just short of making its point.,1
9816,So much better than its trailer implies.,1
397789," It had the potential be a subversive commentary on the international arms industry... Instead it's a dull slog that feels longer than it is, and essentially accomplishes nothing but a few cheap laughs.",0
89246, Richard Matheson probably wouldn't care for Kelly's adaptation too much because it certainly goes its own way. It's not perfect; it's a little slow and plodding and has a few characters that don't add much to the overall affect. But it's still quite good.,1
218249," Gangster Squad's violence has a graphic, contemporary feel that's at odds with the vintage crime pics the film wants to celebrate. This isn't the heavy-handed CG-noir of Sin City, but even so, it feels fake.",0
5617," A character-driven piece, pitched awkwardly between comedy and drama.",0
29154,Whiskey Tango Foxtrot? It's Delta Whiskey Charlie; definitely worth catching.,1
53692,"The ravages of colonialism cast a dark pall over the stunning South American landscape in Embrace of the Serpent, the latest visual astonishment from the gifted Colombian writer-director Ciro Guerra.",1
3542,"A predictable yet entertaining, gleefully bloody exploration of evil finding its way in the world.",0
33723,"Chadwick Boseman is so formidable that, were the film itself just a bit better, he would eventually be basking in the same sort of year-end accolades that greeted Jamie Foxx as Ray Charles and Joaquin Phoenix as Johnny Cash. Who knows, he may yet.",1
37138,"A watered-down, CG-saturated nod to moviemaking convention.",0
3203,The Last Black Man in San Francisco possessed a rare quality of being deeply authentic and idiosyncratic at the same time. I haven't seen anything quite like it.,1
19789,"Stylish, satirical and intriguing, surreptitiously exploring themes of ambition, jealousy and betrayal - and Penelope Cruz dazzles.",1
10274,"For the most part, this film is as affable and amiable as its title character.... It may wear its good intentions on its sleeve, but this feel-good film has no reason to feel ashamed about doing that.",1
213257," Here is a movie so precise and cautious with its material that every moment, every suggestion or action, becomes an experience that involves us to alarming lengths.",1
259706," An often insipid, mostly meandering horror/comedy hybrid that's too dumb to really recommend, but oddly endearing enough in the end to render it somewhat dopily palatable.",0
161,"As with any great comedy, the drama quota is here to reinforce empathy with characters drawn with rigor, who grow incessantly before our eyes. [Full Review in Spanish]",1
4382,"The acting in The Aftermath is strong across the board, but the script and editing both fail the performers.",1
467471," Lee is a filmmaker who, through talent, accomplishment, and a constant working of the refs in the Hollywood system, has earned autonomy over his films. I'm all for artistic freedom, but here he could have used a bit of oversight.",0
24477,"Ditching flash in favour of character development, this stylish and energetic entry is one of the best films in the series. Lazenby woz robbed.",1
10932,... features familiar thematic ideas from genre predecessors and marks a transparent attempt to launch another young-adult franchise with a mediocre first chapter.,0
223046," In the Shrek films, the joke of Puss in Boots, with his trilled consonants and penchant for chest-puffing sword duels, is that no one this cuddly should try to be this dashing. But in Puss in Boots, that joke wears out its welcome in 15 minutes.",0
5442,Escape Room provides just about enough entertainment for the first two-thirds of its running time to get away with being a reasonably enjoyable Saturday night rental.,1
42169,Not since Hitchcock has a director been so good at holding out their films' greatest secrets until the very end.,1
375541, The worst film I've seen so far this year.,0
304944, Surprisingly thoughtful and introspective. Gorgeous cinematography.,1
1885,Though our world has become a rather strange place it is in no way as bizarro as directors Jocelyn DeBoer and Dawn Luebbe short film Greener Grass.,1
31287,"A film where there is a constant struggle between the original text, the script and the way in which McGregor intervenes but manages to carry it out with sobriety. [Full review in Spanish]",1
307,Any attempt to explore the impact of the opioid epidemic is buried beneath clichés and contrivances in this mildly taut drama about a crime-ridden family legacy.,0
44838," The ""legacy'' of the title appears to be that of George Lucas. Which, of course, should be the last thing an admirer of ""Tron'' wants to see: Bill Gates taking over Apple.",0
5859,Elle Fanning and Justice Smith are gorgeous together and have lovely chemistry.,1
2135,[Toni Servillo's] performance is at once a recreation of the [Silvio] Berlusconi people know domestically as well as internationally and a farcical rebuke of everything he stands for. It's satire of highest contempt.,1
25305,"The film's over two and half hours so go when you are in the mood to just escape into a fairy tale. Take a moment to search around the gorgeous sets and remember, a film like this doesn't get made these days. Wait, it does and it did.",1
105943, ...strives to amuse the audience with intelligently conceived and executed combo of satirical wit and slapstick that hits nearly every target it aims for.,1
3514,"Takes a fascinating, suspenseful true story and waters it down into a generic, maudlin, anti-death-penalty message.",1
478401," Talk about setting the bar too low, especially in a movie that kids will be watching.",0
44749, The Goblet of Fire is a more mature story and its young stars prove they have the acting skills to grow with their characters.,1
104108, Not a smidgen of originality!,0
1606,"Violence, domestic abuse, cursing in so-so horror movie.",0
1303,"While the film doesn't always give us access to its present-day subjects, it still offers valuable insight into issues of artistic preservation.",1
136013, I thought it was fantastic.,1
1644,"A strong contender for most ridiculous tearjerker of the year, starring Kevin Costner as a golden retriever.",0
4067,...My Days of Mercy clears its biggest hurdle of navigating a lesbian romance and capital punishment.,0
18961,"Nolte is impressive, as is Charles Durning as the coach, and Bo Svenson is hilarious as a veritable giant of a player.",1
3977,"At its core, Miss Arizona is a wistful, sweet-natured ensemble piece for five good actresses -- along with Braddy and Lively, Shoniqua Shandai, Dana Wheeler-Nicholson and Otmara Marrero round out the strong quintet.",0
369,Funny enough for those who've been waiting for the sequel since 2009. Just don't go see it for the plot. [Full review in Spanish],1
3830,"Overall, Batman Hush is an enjoyable slice of DC animation, but it will certainly irritate purists who don't like liberties taken with their source material.",1
5368," In pursuit of prestige, it loses the qualities that make the story worth telling.",0
4475,"Clint Eastwood, a master director, orchestrates all of these notes and has us loving Mandela, proud of Francois and cheering for the plucky Springboks. A great entertainment.",1
2978,"The worst thing about boxing films is the boxing... Bleed for This, thankfully, knows these pitfalls.",1
315663, The only brazen thing about the film is how shamelessly it rips off School of Rock.,0
462916," Thanks largely to Fabrice Luchini's comic performance, it's reasonably entertaining, particularly if you're the kind of person who likes Flaubert references in your romantic comedies.",1
403680," Covering an eventful artistic season, Jean-Stéphane Bron's ""The Paris Opera"" is a well-observed vérité portrait of a major cultural institution.",1
44408,The kind of pandering family entertainment that would make even Walt Disney roll in his grave.,0
3309,Simpleminded political gesturing...,0
5868,"[T]here is an undeniable warmth and tenderness to Fanning and Smith's performances that makes this a worthy, if not particularly memorable, addition to a thriving sub-genre.",1
22895,It is a rattling good outdoor adventure movie.,1
62112," To watch Genisys is to see the franchise become a figurative embodiment of the Terminators themselves: convinced of its own superior vision of the future, it tramples upon the dusty skeletons of the forefathers it's slaughtered to achieve it.",0
17730,A particularly anemic entry.,0
847,"The film, based on true events, feels dramatic and thrilling at moments. Other times, its heavy-handed proselytizing mars the proceedings.",0
568,"The film of almost the same name, Melody Makers, directed by Leslie Ann Coles, gives the writers and photographers of the magazine's golden era a chance to tell the stories behind the stories.",1
29441,"It's essentially a weepie, and as such it's a winner: nicely acted, fairly restrained in its emotionalism and bringing us a curious true story.",1
42502,It's one of those movies that will reveal more and more to youngsters as they rewatch it in years to come... and that's the best kind of film.,1
150358," Doting dads are doting dads, I guess, and there is just no stopping him, which is a shame, as what follows is a big sorry mess of the most clichéed, improbable and xenophobic kind. ",0
6676,"The film never really goes for crescendo, rather it simmers a cauldron of heated but restrained emotions and sensations - gorgeously.",1
24580,Martin Scorsese's most provocative film also turns out to be uncomfortably slow-paced and sluggish.,0
3628,A superior indie riddle and a strikingly singular film.,1
38184,What makes this peppy kids' film interesting is the human/robot apartheid system that has evolved in the futuristic world that Astro inhabits.,1
36984,"Blood is splattered on walls, pre-teen students are turned to stone, a Poltergeist-ian tree tries to smash our heroes, spiders rampage across the Dark Forest and a giant snake cruises menacingly through dank catacombs.",1
2494,"f any film of the recent barrage of aspiring pop star movies have any semblance of truth, this film subverts the expectations of dreamers around the world by saying the only way to make a change is to look inward.",1
33192,A fascinating portrait of the marriage and creative partnership of Alfred Hitchcock and his talented wife Alma Reville. ,1
25787,"Though George Hickenlooper's ""Factory Girl"" feels as vacuous as the picture's main character, ""superstar"" Edie Sedgwick, it manages to convincingly convey the toxic persona that was Andy Warhol.",0
43393,Clockers thunders home with the bruising urgency of a story that needs to be told.,1
3466,"The film is aimed at those who turn their long-suffering pets into emotional prosthetics, characterized by unconditional surrender to their masters. [Full review in Spanish]",1
43156,The worst kung fu movie since Sammo Hung's Heart of Dragon.,0
53225,"It is fairly stunning to see Scott helming a comedy like Matchstick Men, and it is doubly surprising to see so many actors enjoying themselves.",1
51898,"As you can tell, Mark Felt didn't lack for intriguing material. Just intriguing execution.",0
5435,...it's the story that's the real problem here. ,1
366713, A little too glib to be truly memorable and a little too top-heavy to be really fun.,0
3488,What saves the movie from totally going off the rails is the grounded vibes given off by its three leading women.,0
53503," The beauty of Haigh's film resides in going through the meandering, episodic nature and finding poignancy, depth if you will, in its beautifully constructed cracks.",1
24784,The last fifteen minutes is pretty good but that end does not justify the earlier means.,0
7207,A Million Ways to Die's endless parade of toots undermines its actors. The writing also manages to find less-scatological ways to disrespect women and minorities.,0
76142," Made In America is an all-too-accurate reflection of the safe, boring, middle-aged politician Jay-Z has become.",0
5163,"It is complexly, an emotionally draining, exhilirating, and liberating quest.",1
53560,Beautifully-shot frames and a half decent score do not equal a good film if it cannot engage the audience emotionally.,0
73848, Comes from an intolerably smug and cynical place.,0
438050, Arguably the most preposterous picture of the year.,1
409534," The kind of extravagantly bad movie only a genius could make, She Hate Me feels like an embarrassingly public nervous breakdown. ",0
2016,A mildly disappointing affair for those who were expecting a bit more from Arévalo. [Full Review in Spanish],0
944,Modern horror comedy that resonates due to the brilliance of its young star. [Full review in Spanish].,1
2582,"You can tell they like each other as movie-star-buddies, they're relaxed, unshowy and inviting, but there's not one moment where you get the idea that naked sex activities are on anyone's agenda.",1
6313,"... it's this sense of the ""real"" that not only keeps Light It Up lively but that marks it -- for all its visual flair -- as happily out of step with a zeitgeist enamored of naught but money and notoriety as the wildly overhyped millennium turns.",1
1976,"It's not often that a movie can affect you and make you laugh out loud all at once, but ""Silver Linings Playbook"" coordinates the task with ease.",1
391515," Everyone in Israel and the territories wants peace according to Gitai's doc, but still there is no peace. Could the people be moderating their real views to get space in this film, or is there another reason? ",1
26154," Lucy Walker is an extraordinarily sensitive and caring filmmaker, and Waste Land is a testimony to the transformational nature of art in people's lives.",1
2373,"Dredging up horror movie favorites like random nosebleeds, a traumatized priest and a mama-to-be with a yen for raw meat, Matt Bettinelli-Olpin and Tyler Gillett direct with competence but a dispiriting lack of originality.",0
52832,"Despite all his craft and sincerity, [Eastwood] and screenwriter Richard LaGravenese can't quite turn Robert James Waller's cardboard best-seller into flesh and bone.",0
394881," The star power of Redford and Nolte will attract older audiences, though I'm not so sure for the under 40 crowd.",1
5219,"""A Violent Separation"" doesn't come together tightly, but there's cinematic clarity at times, especially during its more procedural moments.",0
167807, The director was Neil Burger who handles the action with aplomb.,1
287351," ""Bachelorette"" commits only one crime, but it's a make-or-break offense -- it's just not quite funny enough.",0
281734, There is not much new in the sequel and [director] Jonathan Liebesman never ties enough emotion to the main characters for you to care about their peril.,0
1961,"Dramatic, emotional, even heartbreaking, as well as wickedly funny, it has the gift of going its own way, a complete success from a singular talent.",1
472778, A meandering study of photographic ability with occasional inspections of obsessions and ego. ,0
5159,"It's not perfect - but in its own blood-splattered, limb-lopping way, it may be a particularly perfect thriller for this moment.",1
39398,"To borrow a phrase from the Simpsons, it's just a bunch of stuff that happened.",1
142284," [Moore is] back this week in Maps to the Stars, baring her all (literally) in a film that just isn't worthy of it.",0
38068,"This vampire doesn't suck your neck, but pulls your leg.",0
405916," If this nonsense is the stuff of nightmares for most modern teenage girls, who seem genetically predisposed to roll their eyes at anything a parent or teacher does, I'd be very surprised.",0
223, The film's and Nancy's nonjudgmental tone gives it a distinctly modern feel.,1
1016,Lopez's Ramona exudes power. She's the sun around which Destiny and the whole movie orbits.,1
43196,"An almost perfect expression of the genre...may not warm the heart, but it will make it jump for sheer joy at the cinematic exuberance it displays.",1
62530, Donald Trump faces a reality show-down in Scotland in this compelling and dramatic environmental documentary. ,1
826,Lobs more cinema war cliches than grenades.,0
163687," Falls down exactly where Scream succeeded so brilliantly, getting itself hopelessly tangled up in exactly the clichs at which it purports to be poking fun.",0
5026,"Realistic, understated performances help keep it grounded and engaging, as the knowing script explores unexpected connections, both new and lifelong ones",1
405070," Guillermo del Toro's Pacific Rim is awesome, scary, weird, exciting, exuberant, and ridiculous -- basically everything you want from a sci-fi action movie.",1
327166," Given all the talent involved, this should have been much more compelling.",0
6136, Cold exteriors and warm interiors combine in the Coen brothers' rhapsodic portrait of a '60s folk singer.,1
52663,"A silly slasher movie, minus the slasher.",0
12277,"Lavishly mounted Western by Jacques Tourneur, better known for his noir films",1
146757," A film that reaches the core behind the makeup, feathers and sequins. The gaze is not exotic, nor does it emphasize the peculiarity of its women. It shows them with compassion, affection and, finally, hope. [Full review in Spanish]",1
30342,"It does not have the right stuff. Indeed, it is pretty silly stuff.",0
26466,"Call Me By Your Name is a very tasteful exercise. This is one of those movie environments that admits only the intelligent, the well-dressed and the culturally sophisticated.",1
4697,"Certain moments either diminish the intellectual arguments at the core of the film or serve to further prove Bland was once here and now a specter looming over a never-ending, polarizing ongoing national conversation on racism and policing in America.",0
39149,Writer-director Iain Softley went out and bought the Paint-By-Numbers kit for making a rock 'n' roll movie.,0
310034," Throughout [director J.A. Bayona's] career, he's excelled at building tension and creating atmospheric unease... But all too often, the script hinders the impact.",0
49228,One can only hope that Becoming Jane will inspire moviegoers to find out more about this beloved literary great. Or hopefully revisit one of her classic novels.,1
2561,"There are many films that approach similar subject matter in much more skillful and impactful ways, and they can probably be easily found by just swiping past this one on Netflix.",0
14445," An excellent cast, but what a turkey. ""Broken City"" wallows in its terrible plotting.",0
26806,A film so narrowly focused as to be inaccessible for all but the devout.,0
