,Review,predicted_train
3826,"BATMAN: HUSH is going to appeal to fans of the comic book story and fans of the DC Animated Universe movies, but everyone else can skip this one.",1
296403," A harsh tale told in a soft voice by Brendan Fletcher, who uses a full soundtrack to calm our jangling emotions. The film is understated in its redemptive message",1
232367," The Skeleton Key looks great and oozes atmosphere, but unfortunately it's the atmosphere of hundreds of haunted house movies before it.",1
351530," Solid, but just a shadow of Hitchcock.",1
22695,A very worthwhile entry in the proud tradition of Czech filmmakers examining serious social issues with dark humor.,1
10064,Cowboy character study mixes violence and depth; some peril.,1
2643,"Riot Girls confidently and entertainingly sets itself apart from the pack rather nicely thanks to a well rounded script, playful direction, and a whole lotta swagger.",1
376690," While the core ideology behind The Lion King is extremely problematic and stands out even more today than it did in 1994, there is still much to admire about the film.",1
15434,"Eastwood encourages Penn to overact, and Penn Method-ically responds with the enthusiasm of the amateur talents in Waiting for Guffman.",1
4724,"In a vacuum, Wong and Park are both pretty fun and delightful. Not together - they have a profound lack of chemistry.",1
6054,A charming eye-roller with a nice streak that goes deep.,1
18747, Spinal Tap: The Next Generation,0
250110," Where Paper Heart does shine, however, is in the reflections of the general public and few will fail to be moved by their truly inspiring and heartwarming stories of true love.",1
476727, A slightly warped edge keeps us engaged with the simplistic characters and goofy situations.,1
4502,"While there are cliched moments and the odd didactic part, the film overcomes these issues thanks to strong characterizations and great performances.",1
3630,"Even though it may not reach the heights of the films that have influenced it, it is certainly an enjoyable and worthy experience.",1
44290,"It may be a little too Jack Webb for the masses, but there is value to its sober, just-the-facts approach.",0
85207," A satisfying thrill ride. There are some witty bits, and the whole moves swiftly.",1
107928," More guilty fun than a firkin full of extremely inebriated simians -- if you let it drag you to its level, something it does with the charm of an accomplished sociopath. ",1
346063, Danny and Oxide Pang [rework] the plot of their 2000 thriller to make way for Nicolas Cage and his Big Star persona,1
17477,An insufferable hodgepodge of phallic and fecal humor.,1
82779," Under the splendid direction of Robert Zemeckis, who also co-authored the screenplay with Bob Gale, Back to the Future is a joyous flight into the domain of a teen-ager`s fantasy.",1
5540,"In Greener's view, until those most affected by the War on Drugs are put in a position to directly benefit from legalization, it's not really accomplishing anything at all.",1
3457,"It's a pity, because somewhere amongst the muddled editing and storytelling there's a terrific drama.",1
2908,The first cut was the deepest.,0
371647," This is the usual mix of talking heads and archival footage, but Fairhead also inserts detailed CGI sequences that vividly illustrate the technical issues unfolding.",0
307511, Jon Spira doesn't extrapolate from his interviewees whether they feel like a true part of the Star Wars universe or mere tag-alongs to a pop-cultural phenomenon.,1
14007,"Wait... an all-star voice cast for a computer-animated story we've never heard of before, and it's watchable, too?",0
29168,"If Whiskey Tango Foxtrot isn't as incisive or as penetrating as it potentially could have been, for a major studio satirical look at the war in Afghanistan there's still plenty of food for thought here.",1
3000,"There were moments in this special that I can get behind, but there were others that I'm shocked that Netflix gave the go-ahead to.",0
4472,"Eddie Alcazar's film is a purposefully inscrutable, wandering, disconnected, symbolic, and highly precious mood bath.",1
6153," [Baron Cohen] understands perfectly well whom the object of his rage should have been... It's just that as screenwriter, he couldn't figure out how to make the richly deserving powerful-and-corrupt the butt of comedic ire.",1
2338,"Really cool, intelligent psychological horror film.",1
46638,A nicely tart gulp of grown-up wit and cynicism.,1
15595," The pair bounce so successfully off one another that this feels like a double act for the ages, in a film that actually deserves to spawn a sequel.",1
44606,"Eastwood masterfully re-creates the blood-curdling fear and panic on the train, contrasting that with the men's astonishing courage as the rest of the passengers do what most people would: Freeze and cower.",1
2755,"No faulting a game cast, but even talented actors can't make this creaky and marginally creepy farce hit enough of the right notes.",1
422228," High-Toned, Tragic, Exalted Soap",1
38884,"It's easy to see why David Fincher wanted to make it, but hard to shake the feeling that perhaps he shouldn't have bothered.",1
2292,"THE DAY SHALL COME presents a character that longs for change. Although the issues are prodded rather than skewered, the film develops a sadness at the absurdity and lack of empathy that perpetuates a status quo with an expensive human cost.",0
1568,"Although there are certainly some surprises in the narrative, one can't help but notice some stylistic and thematic similarities between this and Shane Meadows' superb 2006 skinhead drama This is England.",1
44472,Both Nixon and Mond invest James White... with a raw honesty that makes James White a compelling drama about the demands and rewards of family.,1
280442," Arquette shines, but this unmade-man mob movie lacks the energy and brutally dark humor of ""Rob the Mob,"" which was about exactly the same story,. ",1
366932," Suburbicon is not only unfunny, a bad sign for a black comedy, but deep-dyed dislikable.",1
1165,"...a film that can be enjoyed by both children and parents, and which tells a story different from the usual animated children's fare.",1
31446," Like a fine novel, it has threads that tangle, bits that tingle, sections that make you laugh out loud and moments that reach deep down and touch you in the gut.",1
24690,"It is unquestionably overwrought, but it is a truly lovely film with a lot of emotion in it. The meaning of all that emotion is unfortunately still up for grabs.",0
255673, Arnold Schwarzenegger is a fool to think he'll make it as the Johnny Carson of action films.,1
28948, I was underwhelmed by this concert film of the most successful entertainer of all time.,1
34555," Once you are accustomed to the manners and methodology of the film, what remains is the story. And in this one, it's thin gruel",1
10202,An uneven but ultimately winning coming-out story. It's one of those films where I can point out lots of flaws but then of them especially bother me ,1
50184,"It may pull you into the tent with a promise of hoochie-koochie girls, but it delivers a rousing sermon on faith, hope and charity before it lets you back out again.",1
1765,The most stunningly realistic CGI you have seen to date - but the soul of the traditional animation is sorely missed.,0
64166," There's a compelling urgency about this riveting, highly political portrait of a brave and compassionate woman that allows us to feel as though we have partaken of her journey. Angelina Jolie is stunning.",1
1857,"Maybe the family isn't all there. But it turns out the extended relatives throw a pretty good party, too.",1
33537,"A lot of the themes and language in the movie haven't aged well...the soundtrack is amazing, though.",1
5799,"Earning more points for style than substance, this atmospheric Canadian noir lacks enough tension to sufficiently pay off its titular mystery.",0
20507,Few films have ever made better use of combining social and political history with romantic melodrama and suspense.,0
378999, A bewitching cinematic collage.,1
406476," Washington's performance -- and the clever manipulations of the script (by David Collard) -- keeps ""Out of Time"" taut and credible.",1
27994,The pun-fueled dialogue is a perfect match for the visual ugliness.,1
201862," A comedy at heart but potentially a kid's first horror movie, Monster House is a fine introduction to the young cinephile's realization that you can have a lark in the dark.",1
36505,[Jennifer Aniston's] exquisitely modulated and heartbreakingly understated performance is a revelation...easily one of the year's very best motion pictures.,1
70689," There's no shame in getting upstaged by Johnny Depp. Coming up third behind a dead crow, however, signals trouble.",0
29790, Seventh Son is another one of those barely comprehensible 3D fantasy films with lots of dark Middle-earth-type settings and swirls of digital effects that make it hard to figure out precisely what is going on.,1
3921,"It's bloody, it's silly, and it's a gory good time.",1
5826,"The Climbers had the potential to be a gripping drama-thriller and project China's soft power while doing so, but instead the overt focus on fighting for national pride makes the film a flop.",1
7229,"You'd think that you'd have plenty of room for good humour when trying to spoof the western genre, but MacFarlane falls back on the same childish material again and again.",1
266851, An opportunity to watch a comedic performer at the top of her game revel boldly in her own confident weirdness. ,1
261506," This is truly a remarkable work of documentary storytelling, raw, intimate and subsequently quite profound.",1
45348,Dazzlingly performed with great creativity. [full review in Spanish],1
37922,There's a difference between a great performance and a Great Performance. Julianne Moore's turn as a professor afflicted with early onset Alzheimer's easily qualifies as the latter. ,1
244678," A terrific, sophisticated comedy that tackles serious issues with a lightness of touch and a spirit of steel, Philomena is the British film to beat come BAFTA time.",1
320,"Despite the problems, I found The Addams Family to be refreshing.",1
21207,"Un intento forzado por seguir explotando el personaje de Hannibal Lecter, vistosamente filmado y producido pero sin otra excusa argumental que intentar explicar lo inexplicable.",1
25812,Sedgwick liked attention and she liked having fun; at least the movie honors half of that.,1
18244,"A leaden, dull, and generally forgettable piece of barely there filmmaking that might well have been a mid-Eighties movie of the week, or, more likely, a jettisoned ABC After School Special.",0
29732,Tarkovsky is one of the true poets of the cinema.,0
51304,"One of the all-time great ghost movies, and certainly the funniest.",1
1555,"Good Boys is funny and cute -- but ends up being just an OK version of Superbad. Worth a watch, but don't expect much.",1
18501," A logic-free, utterly joyless thriller that substitutes a wild goose chase for an actual plot",1
417827, A psychosexually intriguing blend of Alfred Hitchcock's Rear Window and William Friedkin's Cruising ...,0
296047," The conceit is nicely done, with Arterton and Luchini making a moreish combination of passion and wariness.",1
3513,You come out of this film deeply moved and also overwhelmed by a group of memorable performances.,1
320920," Although the cast comes across as admirably restrained, we inevitably get bogged down in the usual Sunday-school clichés.",1
51548,"I am full of admiration for the superb pacing, the tactful understatement of the location shooting, the sharp feel of the city.",1
4874,"Ultra-violent, ahistorical Western revenge flick...is intriguing mash-up of genres...Really captivating Jon Foo's...devastating use of formidable martial arts skills.",1
761,"""Cries easily in movies..."" wholly and accurately describes my own experience watching this film.",1
5196,"Avengement can rightfully claim to be the hardest hitting British action thriller for years, provided you don't take it too seriously and just enjoy it for what it is - a ridiculously entertaining thrill ride",0
18009,"If it's dumb humans crashing through the undergrowth you're after, rent a Rambo movie instead.",1
155845," Thanks to the young voices reprising the gems from ABBA's repertoire, the present film feels like a true-blue musical.",1
4816,"A small film in which everyone is nice... But it still works, because of the two leads' natural chemistry, and because Green avoids any hint of millennial hipsterism or cynicism.",1
9154,"For its celebration of the universal yearning for answers to the big questions, Hereafter is an interesting film to look at. It gets more interesting when you factor in a couple of impressive special effects -- yes, in a Clint Eastwood movie.",1
2806,"Low Tide knows where it came from but adequately avoids succumbing to nostalgia. Instead, Kevin McMullin paints a darker portrait of the forgotten youth of the Jersey Shore that is as violent as it is strangely charming...",1
667,"She literally transforms into Judy, engulfed in sadness and tragedy...a tour-de-force performance, although the movie isn't great overall...despite the obvious flaws, it's still informative and engaging.",1
9402," Love is the only thing that matters here, but in an unhealthy, annoying way.",1
212725," Unquestionably convincing, disturbingly realistic, and unflinchingly honest.",1
3549,"After such an exquisite set up, Brightburn's execution is a little bit disappointing, becoming a rather straightforward supernatural horror instead of delving deeper into superhero lore.",1
33136,"Beyond Anthony Hopkins' droll impersonation of Hitch, the film rises from amusing bauble to full-throated and satisfying depiction of a great man and the unheralded woman who helped make him so.",1
36232,"Sets up its mysteries with an admirable tenacity, though the resolution we're ultimately offered is more than a bit forgettable.",1
44478,"With an intimacy caught in tight close-ups, Abbott and Nixon hold the pared-down script and each other gently. Like grief itself, this film might knock the wind right out of you.",1
53155,Cage is absolutely terrific down to his eye twitches and neck jerks.,1
503,"The whole film is so devoid of real passion, energy and inspiration that there are times when it feels as if we are watching a less-than-satisfactory remake of a more inspired original work.",1
426760," Demonstrates the same warmth and humor as Cornish's previous film, along with a throwback style that recalls 1980s-era tween pulp adventures like The Goonies. ",1
12261,"Expanded to its intended length, the movie feels not like a failed narrative hastily washed in luridness but a purposefully meandering allegory of artistic frustration.",1
26815,"Using ancient languages, vivid images and visceral violence, Gibson has brought new life to one of civilization's oldest narratives.",1
1760,"De Oliveira concocts striking images in very confined spaces, leaving us with a film that should feel cramped and claustrophobic but instead feels consistently vibrant and alive.",1
32948,This is a powerful film that packs a punch to the stomach.,1
36921,A few laughs and a lot of hyperbolic shtick make this a little better than formulaic before the standard-issue resolution.,0
31934,Maybe he's also Sam. Or an aspect of Sam. Or else Sam is an aspect of Henry. Maybe Henry is an aspect of Lila. Maybe what we think is reality is all an illusion. Maybe illusion is actually reality. Maybe we're all jacked into the Matrix.,0
718,"From clichéd plot devices to the somber score, what starts off feeling amateurish and tiresome becomes a crafty nailbiter.",0
13629,A fun and scary film that's worth checking out.,1
170185, One of the greatest in a great year for movies. My favorite William Holden performance.,1
70753," "" ... any more generic and this supernatural teen-lit adaptation might as well have a plain unbleached-paper label and a title in comic sans."" ",0
54374,"Predictable as the movie is, the Field of Dreams quality is not the only thing to like about The Sandlot.",1
4585,"A great story combined with great performances makes ""Run the Race"" this year's ""I Can Only Imagine."" Tim Tebow knew what he was doing when he attached his name to this project.",1
10759,This pseudo-political action thriller is rather half baked editorially but otherwise overcooked.,0
991,"It's a mute-button movie, with passages of gorgeous cinematic craftsmanship. It's too bad the rest of the effort blocks the view.",1
8518,"The result is no classic, but it is fun and it seems to be paving the way for the day when, under the guidance of a smart director, McCarthy knocks one out of the park.",1
49333,"A lush, coming of age tale that makes you want to take a vacation.",1
59393, A potentially cute comedy spoiled by a weird mean streak.,0
30997,"Here's a movie that's not worth getting all broken up about. Or for that matter, going broke to see.",1
270800," It's a briskly paced thriller boasting the expected summertime flourishes: chase scenes, fight scenes, futuristic dystopian obstacles. But it strives to be something more. ",1
2327,[Lee Won-Tae's] interpretation is flamboyant and highly stylised in places but never loses its edge.,0
46572,"It is about daydreaming and wish fulfillment, as directed by Neil LaBute.",1
19408,"McDormand kicks against convention and expectation, with an out-of-the-box performance that delivers what one would hope for, and so much more. ",1
4649,"Katie isn't an easy watch, to be sure, but it's very well executed and deeply felt. And it's always a joy to see a film where the director is so obviously in love with his lead character.",1
43152,"An intoxicating cocktail of splendid visuals, spectacular action, state-of-the-art computer-generated imagery and some old-fashioned swashbuckling worthy of Hollywood's Golden Age.",1
3618,"The actors are strong and whatever one's feelings about colonialism, the conflict here is such that you can't help but root for the snipers to get the kids to safety.",0
695,Unfortunately all the neon-lit cinematography and woozy score from Nick Zinner can't make up for how tired and affected this film's off-kilter tone feels.,1
5485,"Although parts of the movie may make you happy not to be a twenty-something anymore, the firm friendship between the three girls is believable and refreshing.",1
3859,"""Tolkien"" doesn't seem all that interested in providing any kind of entertainment.",1
315915," There's just not a lot to like here, with the exception of what may be one of the all-time best bad movie lines, one Conan utters to Tamara as a kind of personal credo: ""I live. I love. I slay. I am content."" That makes one of us.",1
51768,"Such a wonderful mix of sight and sound, of humor and drama, of love and hate, of ugliness and beauty.",1
5346,"Sports fans will enjoy the plethora of old sports action and analysis. And, documentary lovers will get something that educates, entertains and gives insight to the history of sports.",1
214692," Rumsfeld seems to suggest that any pre-emptive strike can be justified, if we have the 'imagination' to envision future history as a succession of Worst Case Scenarios, enacted by America's enemies.",0
41139,"If all this sounds convoluted, well, it's a toddlers' film and anything goes.",0
1342,"Instead, it's a clever, not-too-sentimental Hatfields v McCoys take on the legend of Santa Claus.",1
43575,Mildly amusing but wholly unnecessary.,1
3935,Tony West's irksome film proves that over-the-top occult silliness is no substitute for proficient filmmaking.,1
27017," The chemistry between Bridemaids alumni Wiig and McCarthy is still comedy gold, SNL's McKinnon is one to watch... and Jones provided the biggest laughs of the night.",1
120,"Smith's latest film, Jay and Silent Bob Reboot, brings together just about every familiar face audiences have met and loved in a story that's hilariously familiar and with a heart bigger than Jay's junk. BONG.",1
336986, A chronological brain-teaser confounding enough to keep you busy trying to figure out whether those holes are in the story or in your logic.,1
35093,The drama effectively combines combat and potboiler courtroom drama.,1
203133, The dialogue and performances in At Any Price are about at the level of a Founders' Day pageant.,0
267713," Despite some pitfalls, Meadowland is a compelling look at how a married couple handles the disappearance of their young son.",0
181280, Promises more than a few tear-soaked hankies...earns its tears with strong performances and a restraint that help you invest in characters whose departure you will feel.,0
171807," It's a simple tale, but one to savour.",1
1692,"This movie is terrible, destined to be mentioned in ""worst ever"" lists, and you might love it, especially with a crowd that's able to get on a certain wavelength.",1
36582,"Jennifer Aniston is the essential girl next door in this down-to-earth, witty film of small town desperation.",1
181413," On most levels the film, which has a surprising number of unconvincing details, takes the sugary option; it shies away from the harsher realities whenever possible.",1
391972," After a decade in the wilderness, it's good to know that Martin can still cut it with the likes of Jim Carrey and Mike Myers.",1
5620,"A film like no other, and even if only to simply bear witness to such a bold, experimental work, it commands a viewing.",1
53117,"A large part of Selma's success is rooted in Oyelowo's superb, nuanced portrayal of a figure held to be a near deity.",1
36507,"A sad, superior human comedy played out on the back roads of life.",1
164344, The characters never really click and it feels like the actors hired are completely wasted. [Full review in Spanish],0
40054,"Suffers from unconvincing plotting, and a third act so bad it brings the roof of the whole endeavour caving in",1
2585,Yesterday is not trying to be anything other than what it promises: a gleeful ride through a wild premise with some feel-good music to keep you going along the way.,1
42458,"A critic can stay alert through movies that would put elephants into comas, but I doubt most people will stay awake for Max Payne.",1
9359,Has some choice words to say about following one's heart in matters of art.,1
5112,Isabelle Huppert embodies Greta. [Full review in Spanish],0
52385,"In this first sequence in Monsieur Ibrahim, Moses appears a typical teenaged boy, trying out his masculine prerogative and simultaneously unsure of what he wants.",1
816,"I believe the filmmakers thought there would be more to it when they began their endeavor. This is what they got. Sadly, come award season, this doc is not most likely to succeed.",1
5587,"The police procedural aspects of ""The Night Clerk"" are as second-rate as the detective's investigation. But the movie's more emotional quandaries compel...",0
43979,"It might be set in a strip club, but Atom Egoyan's tale of loneliness, lust and jealously simmers with sensual heat.",0
775,"Vandervoort does her best to give Rose more depth than the script offers, but it's an uphill battle.",1
4636,"It's a middle-tier Marvel movie. And yet I liked it a lot more than that label implies. Brie Larson, Ben Mendelsohn, and Samuel L. Jackson are so much fun to watch. Carol Danvers is so cool.",1
533,This is honestly one of the most offensive movies I've ever seen in my entire life.,1
26170,"The acting's so strong and the dialogue so realistic, that it feels authentic.",0
23786,Even the glossy photography and Pfeiffer's convincing performance can't make this add up to more than its slightly amusing parts.,1
494,"Despite sticking to a familiar playbook, The Sonata is an enjoyable reminder of the atmospheric power of gothic horror, which pairs nicely with the horror genre's recently revitalized interest in satanism.",1
190476," It's not as clean or pure as the first movie, but it's still a lot of fun.",0
41848," Proof positive that the makers of ""Hotel Transylvania"" did not do their research: Frankenstein's monster is named Frankenstein.",1
17291,The exquisitely photographed landscapes pull you out of your living room and into the grandeur of the West.,1
357029, A good effort that achieves it's low goals. [Full review in Spanish],0
17209,"[Paul Thomas Anderson's new movie] is a kind of companion piece to Altman's The Long Goodbye, and it's the sort of failure that only a director of his talents could make.",1
260832," In his desire to inform our heads, Leigh often forgets that he needs to engage our hearts us as well.",1
19747," It's a tribute to music's power to heal us, to the way a familiar tune brings a comfortable old-shoe smile and the way a group sing-along bonds those within it, creating a community in that moment.",1
2191,"For anyone who doesn't boat much, it's hard to grasp how yachting can be athletic, harrowing, admirable, or lethal. Maiden... makes a good case for the prowess, invention, and perseverance required.",1
1287,"No indie gem, but Hawke's performance at least makes it watchable.",0
85953, Movies that aim for the middle often fall short.,0
2865,"In her admirable film, director Ursula Macfarlane persuaded some of these women to tell their stories about [Harvey] Weinstein -- the majority of their recollections offered haltingly and with considerable signs of distress.",1
473897," A morality drama about Talmudic studies, ambition, a father-son struggle, and the quest for recognition.",1
280883," While this is the weakest of the five collaborations between Scorsese and DiCaprio, that's not putting any of the blame on the actor's shoulders. He's sensational.",1
18621,"A movie as delightful and silly - indeed, much more silly - than its similarly delightful predecessor.",1
5308,Serenity contains a narrative triple somersault that justifies the previously dissuasive elements - an idea that transfers this exercise in neo-noir to a completely different genre. [Full Review in Spanish],1
2818,Missteps prevent ballet drama from reaching great heights.,1
178107, After 30 minutes you start to hanker for Wallace and Gromit.,1
560,Edie doesn't just tell an inspiring story. It shows us one in action.,1
34428,"If revenge is a dish best served cold, satire is a dish best served acidically funny and American Dreamz dishes it out in a display of filmic bravado. ",1
622,A million little melodrama rehab cliches.,1
3924,"...the combination of bland characters, poor pacing and the lack of campy fun doesn't offer enough appeal for casual viewers. Critters Attack! is strictly for hardcore fans.",1
190,"There's little here we haven't seen fifteen years ago; think Donnie Darko meets Pineapple Express, and you've got a stew going.",1
3975,"Super-violent action thriller with profanity, blood.",1
345642," Even that favourite visual cliche of the newspaper movie, the collage of rolling presses and papers hitting the street, is edited with a fresh ferocity, as ""hot lead"" type seems to be forged into word bullets for battle.",1
53376,"A few more animal encounters and fewer grief sessions would have been nice, but it's still a solid family film.",1
3262,[T]he film never really finds its footing.,0
13470,"The professional skill of William Hartnell and Dora Bryan lends some reality and humour to this conventional farce, in which all the characters come from stock.",1
37183,"Great filmmaking this is not, but if you're looking for an amusing, undemanding couple of hours, give this a try.",1
2237,"Subversive enough for older brother, sweet enough for kid sis, this cine-panto's a safe if not spectacular choice for a Chrimbo family outing. The cartoon chipmunk almost steals it, but Adams' dippy dazzle is the movie's heart, soul and lungs.",1
374904, ...a formulaic Bad News Bears rip-off that at least features some good-natured charm to compensate for its flat script and cartoonish tendencies.,1
18809,Could this be Ethan Hawke's Oscar?,0
1083,"As is, the movie's entertaining enough, but with a touch less restraint and a touch more imagination, we'd really be cooking.",1
39898,An original breath of fresh air. It's an unexpected delight.,1
5261,The scathing social critique of The Great Buddha + is comparable to that of Marco Ferreri's Spanish black comedies... in which an underclass' universe is portrayed with vitriolic humor mixed with tenderness. [Full review in Spanish],0
5404,"If you're patient enough, brave even, the final product may prove worthy of your investment.",1
453801, The relationship prospects are about as seaworthy as the Titanic.,0
3615,"The film's pacing is a little uneven, and it builds to a climactic sequence that's more than a little preposterous, but the story has some bonkers twists and turns that make it compulsively watchable.",0
1846,Scheinert and Chew's poor-dumb-redneck free-for-all is rescued by its players.,1
31235,"In part a hilarious satire about Canadian timidity, it also comes across periodically as a formalist gem about nothing at all.",1
170247," If it doesn't slap a big silly smile on your face, you may want to check your pulse.",1
50121,"Proof-positive that screen chemistry can trump trash, and that it's hard out here for a nympho, too.",1
2369,"As more and more films use this conceit, the premise of someone filming at all salient moments becomes more and more strained, until the device itself becomes not just derivative, but positively cumbersome.",1
1744,"Lee's film never escapes its B-movie roots, nor does it try to, embracing its own pompousness.",1
1670,A feel-good movie to the beat of The Boss' hits that draws from the basic recipe of the realist and well-intentioned British comedy. [Full Review in Spanish],1
235463," Good performances, but it's difficult to give two hoots about Close's passion project when the story remains as pinched and hermetic as poor little Albert Nobbs himself.",1
28857,"Though Macy and Dern offer resolute, solid performances, the viewer is left feeling that their characters are little more than carriers of ideas.",0
209339," The poignancy and ambition were there, even if the execution didn't always hit the mark.",1
391487," Rohrwacher resolutely turns this surprisingly high concept tale into something calmer, less pretentious, and organically unkempt.",1
5673,"While the plot lacks a conventional narrative resolution, which would be inappropriate to such a story, the conclusion attempts to bring some levity to Benni's rebellions and her carers' struggles.",1
41649,Writer-director Maggie Carey's feature debut boasts a crack ensemble cast led by Aubrey Plaza that evocatively captures the carefree elation of youthful summer romance. ,1
4258,"The fight sequences are refreshingly brutal, but the story doesn't hold the attention, and there isn't much drama, tension or excitement. Stallone deserves better.",1
334416, It takes some doing to make a beauty pageant flick that features an intellectually vapid caper plot while being a slap in the face to feminism.,1
35190,"Great turn by Walter Matthau in aged makeup, and nicely directed by friend Jack Lemmon.",1
1996,"This five-star film takes an alternate route by addressing an ongoing issue that proves if disadvantaged children did not grow up in the wrong zip code, their lives would not be predetermined by the circumstances of their environment.",1
228978," The picture keeps the action and gore moving at a nice clip, invents a few interesting and funny new moments, and keeps it all very sexy.",1
5707,"As the emotional anchor for the film, Bennett gives a revelatory performance in Swallow, one comprised of grace, a stoic sense of determination, and a quiet sense of longing to fit in.",1
19675,"Field does a good job of making Doris feel like a person, and manages to finish with grace even as all around her crumbles and stumbles.",1
5536,"Sets a clear social, spiritual and ideological position. [Full review in Spanish]",1
6461,Not perfect but a must-see for those who like to keep an eye on the serious award contenders.,1
4843,"Easily one of the best recent DC Animated films. It has slick action, a super fun story, and spectacular animation.",1
181395, Everybody curse Tom Hooper! Everybody feel the gloom! Everybody give thumbs down to the Master of the Zoom!,1
15184,Stupid is apparently in.,1
249709," Attacking the Devil feels like a very English documentary; a serious film on a serious topic with no flash, but also little emotional manipulation. ",0
37904,"The kind of movie that exists solely to facilitate a great performance in the lead role, and Julianne Moore provides one.",1
2935,it delivers!,0
264405, An ill-conceived dramady about love and grief.,1
21330,Good freak-out fun for genre fans.,1
351228," ...This movie is a turd - a cute little girl poop that makes a squeak before it appears and falls silently into criss-crossed kitten-soft tissue. Predictably offensive but innately apologetic, it's almost funny, until you realize it stinks.",1
41885,Hitch claims to spit on the importance of coded language in relationships. But these are only nice asides; the film is too comfortable with the rom-com statusquo.,1
28838,"Despite the filmmakers' best intentions, a story that once may have seemed daring feels predictable and unrewarding now.",1
40025,"One of the year's most crackling adventure films, one of Bond's most satisfying outings, and proof that you can indeed teach an old horndog new tricks.",1
747,"The Messiest Dramedy of the Year...still a fun mess to watch, and a fine showcase for Justin Long.",0
202452," Overall the film teeters, close to collapse, on its stacked heels.",0
5687,"Businesses destroyed, lives shaken to their core, the cars of bystanders crushed, cops helpless to stop it - it's awful and tragic, sure. But it's something to see, man.",1
440,The screenplay by McCarten effectively balances moments of levity and weight...,1
3681,"This paean to body positivity and living your own truth is more than welcome, but you just wish UglyDolls' message could be more charmingly argued, adroitly assembled and just plain funny.",1
422222," On paper, [the film] should be bold and dramatic -- but there is an awful wishy-washiness to it.",1
739,"With proud maturity and still plenty of passion, Two in the Bush presents an honest tale of such a three-wheeled romance.",1
4958,his time-travel romcom wastes lead Aubrey Plaza and dithers until its geek-pandering finale.,1
4824,"Almost a ""De Palma"" we like. There were plenty of ideas, but not much money. [Full review in Spanish]",1
9896,"A watchable drama with likeable performances but it never quite comes together, thanks to an unfocussed screenplay that stumbles badly in the second half.",1
4721,"A prickly, hilarious movie that puts plenty of comedy back into the tired old romantic comedy genre.",1
30862,"[It's a] bizarre, funny, almost mystical take on the Western",0
28003,[T]he movie's sights are a surprising treat. The same cannot be said of the story...,1
13434,Humorously shows how a parent in second childhood helps his immature son grow up quickly.,1
2805,As emotionally rich as it is intellectually demanding.,1
206,[The] third act ... pummels any notion ... that the filmmakers can resolve the central conflict in a way that respects the real strength of the title character.,0
243423," So you think you've seen silly? And smarmy? And inept? Wait till you see ""Wanderlust,"" though that's just a figure of speech; I'm not suggesting that you actually lay eyes on this naked grab for box office bucks.",1
29100,Singular in its location and singular in mood.,1
51781,More than a portrait of Mozart: a brilliant examination of the creative impulse and a subtle satire of man's limitations.,1
3481,"Sometimes it feels just a little contrived, but it has a freeness and a lightness and a sort of Bollywood-ness to it that is a lot of fun to watch.",0
54268,"Sick as it is, it captures more of the joy of movie-going than virtually any other summer movie this year.",1
298959," A rare sequel where audience investment is not entirely predicated on familiar faces going through familiar motions, and a rare series that seems intent on going out on a high note.",1
1498,"Okay, fine, it's better than the first one. But it's still pretty bad on its own terms.",1
4953,It's a struggle to find the bright side to this rather hackneyed film.,1
34050," Occasionally plodding yet mostly wonderful ... Jauoi is quickly proving herself as one to keep an eye on, and possibly even more.",1
240767," ""ParaNorman"" took a huge risk on a scarier concept, and it paid off enormously.",1
126,"Dark, funny, thrilling, and loaded with YA menace, this is a refreshingly modern take on typical slasher tropes that sticks the landing without having to go anywhere near the big dance.",1
402954," Something hackneyed, trite and boring, you mean.",0
213191," A lively, spectacularly entertaining documentary by filmmaker, archivist and historian Kent Jones.",1
2844,Night Hunter might not leave a lasting impact but it's an exciting thriller full of killer twists and turns which will keep you guessing and the amazing cast alone makes it worth checking out.,1
6669,"Despite the meticulousness of Haynes's adaptation, the complexity of Therese's attitude is lost, and with it much of the strange energy and ambiguous pleasures of Highsmith's inimitable book.",1
1724,"The Gallows Act II is aggressively awful. The filmmaking quality barely meets direct-to-video standard, and despite a lead actress who really tries, the movie does not respect her character or any other character in the story.",0
5533,"The visions, flaws, and setbacks of a gifted young man who wants to be a Master of the Universe.",1
4089,"By building familiar scary imagery atop unceasing adult fears, Pet Sematary captures pragmatic, unshakable panic like a firm gut check.",1
187224, A genuinely hysterical anti-holiday comedy.,1
31159,"Isn't the equal of Michod's previous film, but it shows that he's hardly a one-hit wonder, but rather a filmmaker of vision as well as finely tuned technique.",1
360280," The movie feels like a succession of sketch ideas - but it's a good platform for Partridge's blend of awkward patter, narcissism and utter cravenness.",1
145668, Great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex.,1
67194, The kind of movie that wears its cliches like bright flowers on a Hawaiian shirt.,1
3234,"Interactions begin to carry an unjust cynicism later on, and while that would be fine elsewhere, Jones's script is too twee for its darker moments to coalesce.",0
3054,It's rather like when Bond films went from Sean Connery to Roger Moore. Plenty of people will find this copacetic. A few will grouse about what's been lost: a touch of the real amid the merely fantastic.,1
158596," A dreary, overstuffed hodgepodge of poorly edited martial arts sequences and often unintelligible dialogue.",1
